Astrid,艾絲翠得,丹麥,神聖的力量；星星的。
Lucy,露西,拉丁,帶來光明和智慧的人。
Mabel,瑪佩爾,拉丁,溫柔的人，和藹親切的人。
Madge,瑪琪,拉丁,珍珠。
Maggie,瑪姬,拉丁,珍珠。
Mandy,曼蒂,拉丁,值得愛的。
Marcia,瑪西亞,拉丁,女戰神。
Margaret,瑪格麗特,拉丁,珍珠。
Marina,馬麗娜,拉丁,屬於海洋的。
Martina,瑪蒂娜,拉丁,戰神。
Maxine,瑪可欣,拉丁,女王。
Mag,麥格,拉丁,珍珠。
May,梅,拉丁,少女，五月
Miranda,米蘭達,拉丁,令人欽佩或敬重的人。
Modesty,摩黛絲提,拉丁,謙虛的人。
Monica,莫妮卡,拉丁,顧問。
Myra,瑪拉,拉丁,令人折服的人，非常好的人。
Nina,妮娜,拉丁,有勢有的；孫女。
Nora,諾拉,拉丁,第九個孩子。
Norma,諾瑪,拉丁,正經的人，可做範的人。
Novia,諾維雅,拉丁,新來的人。
Nydia,妮蒂亞,拉丁,來自隱居之處的人。
Octavia,奧克塔薇爾,拉丁,第八個小孩。
Olive,奧麗芙,拉丁,和平者；橄欖。
Olivia,奧麗薇亞,拉丁,和平者；橄欖樹。
Pag,珮格,拉丁,珍珠。
Patricia,派翠西亞,拉丁,出身高貴的。
Paula,賽拉,拉丁,比喻身材嬌小玲瓏者
Pearl,珮兒,拉丁,像珍珠般。
Poppy,波比,拉丁,可愛的花朵；
Prima,普莉瑪,拉丁,長女。
Priscilla,普莉斯拉,拉丁,古代的人。
Prudence,普魯登斯,拉丁,有智慧、有遠見之人；謹慎。
Quintina,昆蒂娜,拉丁,第五個孩子。
Regina,蕾佳娜,拉丁,女王，皇后；純潔的人。
Rosalind,羅莎琳德,拉丁,盛開的玫瑰。
Rose,羅絲,拉丁,玫瑰花，盛開；馬。
Rosemary,露絲瑪麗,拉丁,大海中的小水珠；艾菊。
Sabina,莎碧娜,拉丁,出身高貴的人。
Sabrina,莎柏琳娜,拉丁,從邊界來的人。
Selena,薩琳娜,拉丁,月亮，月光。
Sylvia,西維亞,拉丁,森林少女。
Trista,翠絲特,拉丁,以微笑化解憂傷的女孩。
Ursula,耳舒拉,拉丁,褐色的頭髮，無畏之人。
Valentina,范倫汀娜,拉丁,健康者，強壯者。
Valerie,瓦勒莉,拉丁,強壯的人；勇敢的人。
Victoria,維多利亞,拉丁,勝利。
Vicky,維琪,拉丁,勝利。
Viola,維爾拉,拉丁,一朵紫蘿蘭。
Virginia,維吉妮亞,拉丁,春天；欣欣向榮狀。
Zona,若娜,拉丁,黎明。
Arabela,愛勒貝拉,拉丁，日耳曼,美麗的祭壇，易於請求
Letitia,列蒂西雅,拉丁，西班牙,快樂的；欣喜的。
Antonia,安東妮兒,拉丁，希臘,無辭以讚，受尊崇的人。
Alma,愛瑪,拉丁，英國,真情的、和善的、舞女。
Irma,艾爾瑪,拉丁，條頓,地位很高的；高貴的
Zenobia,麗諾比麗,拉丁、希臘,父親的光榮；狩獵女神。
Amy,艾咪,法國,最心愛的人，可愛的。
Angela,安琪拉,法國,天使；報信者，安琪兒。
Audrey,奧德莉,法國,高貴顯赫的人。
Belle,貝拉,法國,美麗的；上帝的誓約；聰明高貴。
Carol,卡蘿,法國,歡唱，悅耳歡快的歌
Charlotte,夏洛特,法國,身體強健女性化的。
Cherry,綺莉,法國,仁慈，像櫻桃般紅潤的人。
Cheryl,綺麗兒,法國,珍愛的人，男子漢
Elaine,伊蓮恩,法國,光亮的；年幼的小鹿。
Eleanore,艾琳諾,法國,光亮的；多產的，肥沃的，有收穫的。
Fanny,梵妮,法國,自由之人。
Fay,費怡,法國,忠貞或忠誠；小仙女。
Frances,法蘭西斯,法國,自由之人，無拘束的人。
Harriet,哈莉特,法國,家庭主婦
Heloise,海洛伊絲,法國,健全的；在戰場上很出名。
Jacqueline,賈桂琳,法國,願上帝保護。
